Plot No.,Individual No.,Treatment ,CO2,Temperature,Drought,Specific Petal Area (SPA)(cm2/g),Petal Mass Per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Specific Leaf Area (SLA)(cm2/g),Leaf Dry Matter Content (LDMC)(g/g),Display Area (DA)(cm2),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
22,2,C0T0D0,0,0,0,1921.71705,0.000523251,0.095625,458.4913647,0.147674155,0.101309,39.33333333,0.000138714
24,1,C2T0D0,2,0,0,1646.687623,0.000816682,0.077076229,843.4244514,0.1593397,0.07086675,36,0.000117315
24,2,C2T0D0,2,0,0,2228.741561,0.000464346,0.08659375,783.4993686,0.151160334,0.068095,40,0.000112167
27,1,C2T2D1,2,2,1,707.1544715,0.001414118,0.123,455.8195869,0.166299777,0.034792,14,0.000102857
27,2,C2T2D1,2,2,1,1239.653108,0.001066317,0.115300619,494.2442405,0.179153552,0.056844222,19.33333333,9.72414E-05
28,1,C0T0D1,0,0,1,1315.819936,0.000759982,0.088857143,278.2469136,0.162,0.081844,32.33333333,0.000104845
28,2,C0T0D1,0,0,1,1003.557772,0.001027434,0.094972463,1080.518737,0.170307206,0.064226,36,0.000101389
35,1,C2T2D0,2,2,0,674.1634241,0.00148332,0.116818182,297.532548,0.201625,0.051978,30,0.000130444
35,2,C2T2D0,2,2,0,1037.905366,0.000985809,0.118848432,320.6787633,0.182682003,0.092611,28.33333333,0.000189529
42,1,C0T2D0,0,2,0,1351.627907,0.000739849,0.083367347,343.1446541,0.154368932,0.110428,35,0.00015381
42,2,C0T2D0,0,2,0,2172.769231,0.000460242,0.056521739,410.4136253,0.140273038,0.056492,29.33333333,0.000228182
42,3,C0T2D0,0,2,0,631.6475973,0.001583161,0.106585366,563.5,0.110843373,0.055206,46.66666667,0.000214429
42,4,C0T2D0,0,2,0,1719.853748,0.000581445,0.088225806,371.0800922,0.165215054,0.094076,26,0.000114103
44,1,C0T0D1,0,0,1,359.7826087,0.002779456,0.184,306.2249561,0.201060071,0.0331,19.33333333,0.000103793
44,2,C0T0D1,0,0,1,726,0.00137741,0.114444444,390.9208633,0.159312321,0.074778,34,0.000151863
45,1,C2T2D1,2,2,1,521.6052818,0.002024819,0.133214706,350.1879699,0.204615385,0.039727,28.33333333,0.000185059
45,2,C2T2D1,2,2,1,1668.975265,0.00059917,0.07075,335.6197816,0.194625,0.047232,19,0.000124912
47,1,C0T0D1,0,0,1,2254.962121,0.000443466,0.1056,339.8891313,0.205496942,0.043524,21,0.000180476
47,2,C0T0D1,0,0,1,2254.962121,0.000443466,0.1056,339.8891313,0.205496942,0.119062,21,0.000180476
49,1,C0T0D1,0,0,1,619.012016,0.001615478,0.124833333,373.2133333,0.163934426,0.046364,43,0.000100465
49,2,C0T0D1,0,0,1,786.3971632,0.001315893,0.156666667,316.2315789,0.162393162,0.051067,22.66666667,0.000124118
50,1,C2T2D1,2,2,1,1008.548387,0.000991524,0.095384615,521.9736842,0.131034483,0.025012,29,9.98276E-05
50,2,C2T2D1,2,2,1,1335.261146,0.000748917,0.12265625,615.4969118,0.134924242,0.104818,19.66666667,0.000127458
51,1,C0T2D0,0,2,0,902.0838323,0.001108544,0.080288462,575.0617284,0.120895522,0.075324,34,7.02941E-05
51,2,C0T2D0,0,2,0,1446.566265,0.000691292,0.057241379,575.0617284,0.120895522,0.048026,32.66666667,0.000111122
53,1,C0T0D0,0,0,0,1293.98977,0.000962413,0.10125859,567.5744681,0.138235294,0.069785375,27.66666667,7.6988E-05
53,2,C0T0D0,0,0,0,1277.443182,0.000782814,0.117333333,567.5744681,0.138235294,0.089932,23,0.000145072
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
