Species ,Sample Code,Plot No.,Sample No.,Treatment,CO2,Temperature,Drought,Display Area (DA)(cm2),Specific Standard Petal Area (SSA)(cm2/g),Specific Wing 1 Petal Area (SW1A)(cm2/g),Specific Wing 2 Petal Area (SW2A)(cm2/g),Specific Keel Petal Area (SKA)(cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA)(cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Leaf Area (LA)(cm2),Specific Leaf Area (SLA)(cm2/g),Leaf Dry Matter Content (LDMC)(g/g),Number of Seeds (SN),Seed Mass (SM)(g)
Lotus,1.1-4,1,1,C0T0D0,0,0,0,1.667435,459.047384,702.2317392,758.313058,268.2955354,0.002231754,0.00147939,0.001359159,0.004133941,487.143841,0.002110515,0.162949955,0.348284,213.6711656,0.199754902,,
Lotus,1.2-2,1,2,C0T0D0,0,0,0,1.431885,546.3371792,621.9740909,515.3210011,255.5134398,0.001865709,0.001673093,0.001940538,0.004330119,512.0265544,0.001963247,0.156143293,0.363598,317.8304196,0.138498789,,
Lotus,8.1-2,8,1,C2T0D0,2,0,0,1.90417,539.6876056,896.5617568,891.3494184,436.8825462,0.001866524,0.001116154,0.001124713,0.00231026,635.9801402,0.001580494,0.143772844,0.43872,140.9323077,0.278058498,,
Lotus,10.1-2,10,1,C0T2D0,0,2,0,1.463085,555.9666901,874.2960675,892.3892616,379.6249094,0.001798681,0.001145925,0.001120748,0.002649127,630.7470026,0.001585494,0.152812143,0.91336,225.5209877,0.184090909,,
Lotus,10.2-2,10,2,C0T2D0,0,2,0,1.690865,553.9212639,870.9120708,920.7150413,368.728863,0.001805614,0.001148339,0.001089798,0.002720515,633.3371447,0.001578993,0.166418483,1.005825,188.0046729,0.170653907,,
Lotus,11.1-1,11,1,C0T0D0,0,0,0,1.650328625,585.4169444,831.5582408,807.3752644,685.6943923,0.001769686,0.00125372,0.001333674,0.00158985,682.5611792,0.001510443,0.156928584,0.943845,290.4138462,0.185714286,,
Lotus,12.1-4,12,1,C2T2D0,2,2,0,1.3119875,671.6654529,861.9770935,954.2049323,399.6517348,0.001525952,0.001188139,0.001064183,0.002524462,671.2071171,0.001509166,0.160473683,0.763395,261.1463064,0.198486644,,
Lotus,14.1-2,14,1,C2T0D0,2,0,0,1.52633,463.5053501,676.4678805,837.69646,283.786348,0.002171056,0.001481001,0.001216677,0.0035242,500.2806256,0.001998895,0.16009178,0.96211,229.0738095,0.199052133,,
 ,14.2-2,14,2,C2T0D0,2,0,0,1.73069,456.3848697,720.0662561,754.0836078,299.721233,0.002265395,0.001447093,0.001521069,0.00335812,512.9245212,0.002038276,0.168176481,0.519736667,222.7442857,0.193370166,,
Lotus,15.1-3,15,1,C0T2D0,0,2,0,1.698026667,621.4529567,922.2219692,871.9859728,360.3515241,0.0016147,0.001153935,0.001224267,0.002817479,636.0526261,0.00158192,0.151127882,0.28106,214.8762736,0.21494218,,
Lotus,16.1-2,16,1,C2T2D0,2,2,0,1.4831,660.523019,1083.050575,950.5674969,438.3927812,0.001543304,0.000932472,0.001058051,0.002465352,711.8891197,0.001442526,0.152972736,0.741863333,183.3,0.224390244,,
Lotus,16.2-2,16,2,C2T2D0,2,2,0,1.562445,531.8575377,755.6966481,827.5462829,382.7133862,0.001893544,0.001337097,0.001208496,0.005776079,578.1725373,0.001749262,0.159420948,0.43922,185.4658333,0.198347107,,
Lotus,21.1-2,21,1,C0T2D0,0,2,0,1.531285,562.4017631,932.7026246,897.0485271,321.3171401,0.001778137,0.001073613,0.001137656,0.00311376,596.932163,0.001677321,0.169442694,0.451028333,247.9715014,0.203677785,,
Lotus,22.1-2,22,1,C0T0D0,0,0,0,1.951025,567.0464598,827.6638492,812.1239626,338.5776307,0.001805037,0.001215434,0.001248923,0.003015156,598.8726241,0.001700179,0.174629371,0.43532,271.7092676,0.189168618,,
Lotus,27.1-2,27,1,C2T2D1,2,2,1,1.61311,459.870934,707.076117,665.5491012,296.5121751,0.002175456,0.001414277,0.001639444,0.003423849,495.0097896,0.002038026,0.173528623,0.63303,194.919403,0.208074534,,
Lotus,27.2-2,27,2,C2T2D1,2,2,1,1.24223,406.4542911,647.9403104,664.9903101,227.0944059,0.002472402,0.001545663,0.00151149,0.004443788,432.1895657,0.002315077,0.190600775,0.6904825,238.8792453,0.20703125,,
Lotus,28.1-2,28,1,C0T0D1,0,0,1,1.64427,689.4268835,852.8853845,808.4661135,320.3556661,0.001481901,0.001176067,0.001237204,0.003144563,635.2532815,0.001575203,0.13891659,0.4767675,238.8929211,0.213601585,,
Lotus,29.1-4,29,1,C2T2D0,2,2,0,1.1740725,659.5083536,738.8607909,578.0295619,347.4194879,0.001564834,0.001380054,0.002167947,0.002937554,571.9277379,0.001825438,0.148161608,0.454666,237.4366667,0.211401099,,
Lotus,34.1-4,34,1,C2T0D0,2,0,0,1.82817,712.9219029,979.157237,983.8575262,410.015282,0.001478803,0.001033559,0.001022588,0.002484534,719.6109613,0.001410267,0.144199008,0.62256,219.602331,0.218333333,,
Lotus,35.1-3,35,1,C2T2D0,2,2,0,1.412923333,544.9669604,695.7361459,704.9137666,398.4637288,0.001838387,0.001604651,0.001727746,0.00315485,558.2748136,0.001902152,0.161879195,0.459545,210.8635294,0.211909186,,
Lotus,41.1-2,41,1,C2T0D0,2,0,0,1.90256,533.3742634,861.6374043,791.7700535,423.1465625,0.001883562,0.001161098,0.001267012,0.002365841,612.0471374,0.001633886,0.142009511,0.322305,235.6641026,0.178899083,,
Lotus,43.1-2,43,1,C2T2D1,2,2,1,1.342795,607.5217094,1073.410519,702.5375878,372.7174508,0.001720743,0.000966827,0.001579886,0.002691568,633.7820877,0.001637443,0.164549292,0.936125,167.0114931,0.253162169,,
Lotus,44.1-2,44,1,C0T0D1,0,0,1,1.17913,667.2801701,748.9326735,641.762851,286.95501,0.001508238,0.001339852,0.001596586,0.003493422,564.7335787,0.001770809,0.161702569,0.799445,247.8519943,0.211414518,,
Lotus,47.1-1,47,1,C0T0D1,0,0,1,1.562893214,619.1121594,830.7104023,744.9176726,691.0241086,0.001666562,0.001253945,0.001494438,0.001549669,687.6584954,0.001496187,0.156276265,0.57084,190.28,0.256410256,,
Lotus,47.2-1,47,2,C0T0D1,0,0,1,1.562893214,619.1121594,830.7104023,744.9176726,691.0241086,0.001666562,0.001253945,0.001494438,0.001549669,687.6584954,0.001496187,0.156276265,0.931405,160.587069,0.284313725,,
Lotus,48.1-4,48,1,C2T2D1,2,2,1,1.803305,565.5396744,782.4280309,795.0651959,327.3338602,0.001848774,0.00129113,0.001281311,0.00309113,577.2832319,0.001764849,0.152790381,0.5275,247.265625,0.215488215,,
Lotus,49.1-4,49,1,C0T0D1,0,0,1,1.8276525,535.3352179,742.7442557,634.7638552,302.4962976,0.001906682,0.001356108,0.001594513,0.003343849,528.7470562,0.001910839,0.166044646,1.0499,159.9413868,0.234402662,,
Lotus,50.1-2,50,1,C2T2D1,2,2,1,1.756605,625.2147535,938.9587182,953.4959074,400.2452648,0.001616878,0.001219475,0.001251896,0.002594299,670.3681034,0.001575922,0.15218554,0.92598,143.5627907,0.262729124,,
Lotus,51.1-2,51,1,C0T2D0,0,2,0,1.636725,714.1883766,993.7487936,980.3184681,350.6853373,0.001400506,0.001022428,0.001040387,0.002968842,703.8979933,0.001435414,0.154016183,0.73155,256.6842105,0.169139466,,
Lotus,53.1-4,53,1,C0T0D0,0,0,0,1.75611,598.4478836,898.381096,923.2648357,369.1426442,0.001673873,0.001120892,0.001086137,0.002785986,642.453457,0.001565782,0.158765575,0.6917775,263.3078947,0.176424482,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
