Species ,Sample Code,Plot No.,Sample No.,Treatment,CO2,Temperature,Drought,Display Area (DA)(cm2),Specific Standard Petal Area (SSA)(cm2/g),Specific Wing 1 Petal Area (SW1A)(cm2/g),Specific Wing 2 Petal Area (SW2A)(cm2/g),Specific Keel Petal Area (SKA)(cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA)(cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Specific Leaf Area (SLA)(cm2/g),Leaf Dry Matter Content (LDMC)(g/g),Average Ray Floret Area (ARA)(cm2),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
Lotus,30.1-3,30,1,C0T0D0,0,0,0,1.3474,595.6643964,862.7138534,816.1899077,314.1754821,0.001679252,0.001177145,0.001228563,0.003565867,614.5331493,0.001636458,0.169681951,215.8907882,0.19076087,,,
Lotus,34.1-4,34,1,C2T0D0,2,0,0,1.82817,712.9219029,979.157237,983.8575262,410.015282,0.001478803,0.001033559,0.001022588,0.002484534,719.6109613,0.001410267,0.144199008,219.602331,0.218333333,,,
Lotus,35.1-3,35,1,C2T2D0,2,2,0,1.412923333,544.9669604,695.7361459,704.9137666,398.4637288,0.001838387,0.001604651,0.001727746,0.00315485,558.2748136,0.001902152,0.161879195,210.8635294,0.211909186,,,
Lotus,41.1-2,41,1,C2T0D0,2,0,0,1.90256,533.3742634,861.6374043,791.7700535,423.1465625,0.001883562,0.001161098,0.001267012,0.002365841,612.0471374,0.001633886,0.142009511,235.6641026,0.178899083,,,
Lotus,41.2-2,41,2,C2T0D0,2,0,0,2.011475,643.4892215,833.8800846,809.3534129,245.1731192,0.001560328,0.001199252,0.00123689,0.004082394,577.1632883,0.001733136,0.166537506,358.1166667,0.155172414,,,
Lotus,43.1-2,43,1,C2T2D1,2,2,1,1.342795,607.5217094,1073.410519,702.5375878,372.7174508,0.001720743,0.000966827,0.001579886,0.002691568,633.7820877,0.001637443,0.164549292,167.0114931,0.253162169,,,
Lotus,44.1-2,44,1,C0T0D1,0,0,1,1.17913,667.2801701,748.9326735,641.762851,286.95501,0.001508238,0.001339852,0.001596586,0.003493422,564.7335787,0.001770809,0.161702569,247.8519943,0.211414518,,,
Lotus,47.1-1,47,1,C0T0D1,0,0,1,1.562893214,619.1121594,830.7104023,744.9176726,691.0241086,0.001666562,0.001253945,0.001494438,0.001549669,687.6584954,0.001496187,0.156276265,190.28,0.256410256,,,
Lotus,47.2-1,47,2,C0T0D1,0,0,1,1.562893214,619.1121594,830.7104023,744.9176726,691.0241086,0.001666562,0.001253945,0.001494438,0.001549669,687.6584954,0.001496187,0.156276265,160.587069,0.284313725,,,
Lotus,48.1-4,48,1,C2T2D1,2,2,1,1.803305,565.5396744,782.4280309,795.0651959,327.3338602,0.001848774,0.00129113,0.001281311,0.00309113,577.2832319,0.001764849,0.152790381,247.265625,0.215488215,,,
