Plot No.,Individual No.,Treatment ,C02 Level,Temperature Level,Drought,Specific Petal Area (SPA)(cm2/g),Petal Mass Per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Specific Leaf Area (SLA)(cm2/g),Leaf Mass per Area (LMA)(g/cm2),Leaf Dry Matter Content (g/g),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
P14,I2,C2T0,C2,T0,D0,623.2575068,0.001604473,0.098125,559.3317597,0.001787848,0.102192982,34.7,0.00011202
P21,I1,C0T2,C0,T2,D0,2018.891523,0.000496301,0.101416667,1169.448231,0.00673943,0.171005245,26.66666667,0.000097125
P22,I1,C0T0,C0,T0,D0,1515.106036,0.00066002,0.105689655,458.4913647,0.003156464,0.147674155,31.3,0.00012585
P22,I2,C0T0,C0,T0,D0,1921.71705,0.00052325,0.095625,458.4913647,0.003156464,0.147674155,39.33333333,0.000138714
P28,I1,C0T0,C0,T0,D1,1315.819936,0.000759982,0.088857143,278.2469136,0.00359393,0.162,32.3,0.00010485
P28,I2,C0T0,C0,T0,D1,1003.557772,0.001027434,0.094972463,1080.518737,0.008655483,0.170307206,36,0.000101389
P35,I1,C2T2,C2,T2,D0,674.1634241,0.00148332,0.116818182,297.532548,0.003360977,0.201625,30,0.00013044
P35,I2,C2T2,C2,T2,D0,1037.905366,0.000985809,0.118848432,320.6787632,0.003432798,0.182682003,28.33333333,0.000189529
P42,I1,C0T2,C0,T2,D0,1351.627907,0.000739849,0.083367347,343.1446541,0.002914223,0.154368932,35,0.00015381
P42,I2,C0T2,C0,T2,D0,2172.769231,0.000460242,0.056521739,410.4136253,0.002436566,0.140273038,29.3,0.00022818
P42,I3,C0T2,C0,T2,D0,631.6475973,0.001583161,0.106585366,563.5,0.001774623,0.110843373,46.7,0.00021443
P42,I4,C0T2,C0,T2,D0,1719.853748,0.000581445,0.088225806,371.0800922,0.00347292,0.165215054,26,0.000114103
P44,I1,C0T0,C0,T0,D1,359.7826087,0.002779456,0.184,306.2249561,0.003265573,0.201060071,19.3,0.00010379
P44,I2,C0T0,C0,T0,D1,726,0.00137741,0.114444444,390.9208633,0.002558062,0.159312321,34,0.00015186
P45,I1,C2T2,C2,T2,D1,521.6052818,0.002024818,0.133214706,350.1879699,0.002855609,0.204615385,28.33333333,0.000185059
P45,I2,C2T2,C2,T2,D1,1668.975265,0.00059917,0.07075,335.6197816,0.002979562,0.194625,19,0.00012491
P47,I1,C0T0,C0,T0,D1,873.9759036,0.001144196,0.155625,534.9006231,0.003017927,0.177753831,20.33333333,9.13115E-05
P47,I2,C0T0,C0,T0,D1,2254.962121,0.000443466,0.1056,339.8891312,0.003593405,0.205496942,21,0.000180476
P49,I1,C0T0,C0,T0,D1,619.012016,0.001615478,0.124833333,373.2133333,0.002679433,0.163934426,43,0.00010047
P49,I2,C0T0,C0,T0,D1,786.3971631,0.001315893,0.156666667,316.2315789,0.00316224,0.162393162,22.66666667,0.000124118
P50,I1,C2T2,C2,T2,D1,1008.548387,0.000991524,0.095384615,521.9736842,0.001915805,0.131034483,29,0.00009983
P50,I2,C2T2,C2,T2,D1,1335.261146,0.000748917,0.12265625,615.4969118,0.001624704,0.134924242,19.7,0.00012746
P51,I1,C0T2,C0,T2,D0,902.0838323,0.001108544,0.080288462,575.0617284,0.001738944,0.120895522,34,0.00007029
P51,I2,C0T2,C0,T2,D0,1446.566265,0.000691292,0.057241379,575.0617284,0.001738944,0.120895522,32.7,0.00011112
P53,I2,C0T0,C0,T0,D0,1277.443182,0.000782814,0.117333333,567.5744681,0.001761883,0.138235294,23.00,0.00014507
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
