Sample Code,Plot No.,Sample No.,Flower No.,Treatment ,CO2 Level,Temperature Level,Drought,Specific Standard Petal Area (SSA) (cm2/g),Specific Wing 1 Petal Area (SW1A) (cm2/g),Specific Wing 2 Petal Area (SW2A) (cm2/g),Specific Keel Petal Area (SKA) (cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA) (cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC) (g/g),Specific Leaf Area (SLA) (cm2/g),Leaf Dry Matter Content (LDMC) (g/g)
43.1-2,P43,I1,F2,C2T2,C2,T2,D1,734.1110418,1278.275862,923.6327345,787.5,0.001362192,0.000782304,0.001082681,0.001269841,849.6572104,0.001176945,0.158130841,137.9177778,0.277207392
44.1-1,P44,I1,F1,C0T0,C0,T0,D1,613.99754,792.9032258,741.2623274,545.509434,0.001628671,0.001261188,0.00134905,0.001833149,638.4590776,0.001566271,0.163086957,217.074359,0.218283582
44.1-2,P44,I1,F2,C0T0,C0,T0,D1,720.5628003,704.9621212,542.2633745,602.3106061,0.001387804,0.001418516,0.001844122,0.001660273,658.2534732,0.001519172,0.160318182,278.6296296,0.204545455
47.1-1,P47,I1,F1,C0T0,C0,T0,D1,,,,,,,,,,,,190.28,0.256410256
47.2-1,P47,I2,F1,C0T0,C0,T0,D1,,,,,,,,,,,,160.587069,0.284313725
48.1-1,P48,I1,F1,C2T2,C2,T2,D1,472.1445979,731.8286311,655.3046953,586.4913495,0.002117995,0.00136644,0.001526008,0.001705055,573.9505541,0.00174231,0.145173267,247.265625,0.215488215
48.1-2,P48,I1,F2,C2T2,C2,T2,D1,573.7989062,816.5017261,797.8289474,597.6220275,0.001742771,0.001224737,0.001253402,0.001673298,652.5503822,0.001532449,0.163522727,,
48.1-3,P48,I1,F3,C2T2,C2,T2,D1,447.8579041,687.4074074,766.1521739,770.7631786,0.002232851,0.001454741,0.001305224,0.001297415,604.8193172,0.001653386,0.173554913,,
48.1-4,P48,I1,F4,C2T2,C2,T2,D1,768.3572895,893.974359,960.9749671,663.7943262,0.001301478,0.0011186,0.00104061,0.001506491,795.7096425,0.00125674,0.128910615,,
49.1-1,P49,I1,F1,C0T0,C0,T0,D1,439.1270761,692.8667306,655.9512652,605.1771117,0.002277245,0.001443279,0.001524504,0.001652409,559.0822118,0.001788646,0.148961353,164.5092199,0.239388795
49.1-2,P49,I1,F2,C0T0,C0,T0,D1,552.7118644,777.7884615,598.1421801,551.7548077,0.001809261,0.001285697,0.001671843,0.001812399,599.4400933,0.001668223,0.185216049,155.3735537,0.235867446
49.1-3,P49,I1,F3,C0T0,C0,T0,D1,499.6443812,671.8675722,548.0244755,548.3313033,0.002001423,0.001488389,0.001824736,0.001823715,549.5513577,0.001819666,0.178315789,,
49.1-4,P49,I1,F4,C0T0,C0,T0,D1,649.8575499,828.4542587,736.9375,714.7071584,0.001538799,0.001207067,0.001356967,0.001399174,713.4,0.001401738,0.151685393,,
50.1-1,P50,I1,F1,C2T2,C2,T2,D1,560.3051546,604.7821229,569.4220284,646.6398066,0.001784742,0.001653488,0.001756167,0.001546456,588.656444,0.001698784,0.151325967,143.5627907,0.262729124
50.1-2,P50,I1,F2,C2T2,C2,T2,D1,690.1243523,1273.135314,1337.569787,954.3412527,0.001449014,0.000785462,0.000747625,0.001047843,933.8639155,0.00107082,0.153045113,,
50.2-1,P50,I2,F1,C2T2,C2,T2,D1,683.7132902,951.0068966,901.0143043,796.8026644,0.001462601,0.001051517,0.00110986,0.001255016,789.3069728,0.001266934,0.142545455,212.6542553,0.218604651
50.2-2,P50,I2,F2,C2T2,C2,T2,D1,591.6659263,718.4309133,773.6094675,603.2777778,0.001690143,0.001391922,0.001292642,0.001657611,643.3766234,0.0015543,0.154,,
51.1-1,P51,I1,F1,C0T2,C0,T2,D0,703.4826999,868.9005236,843.3466135,561.9682059,0.001421499,0.00115088,0.001185752,0.00177946,713.2101717,0.001402111,0.164321429,256.6842105,0.169139466
51.1-2,P51,I1,F2,C0T2,C0,T2,D0,724.8940533,1118.597064,1117.290323,840.7731434,0.001379512,0.000893977,0.000895023,0.001189381,887.5835825,0.001126654,0.143710938,,
51.2-1,P51,I2,F1,C0T2,C0,T2,D0,712.9003559,1076.231343,1084.384134,885.2173913,0.001402721,0.000929168,0.000922182,0.001129666,886.5781613,0.001127932,0.131,187.0109589,0.17116061
51.2-2,P51,I2,F2,C0T2,C0,T2,D0,467.6679245,684.7606019,758.0952381,532.0037987,0.002138269,0.001460364,0.001319095,0.001879686,581.1404656,0.001720754,0.193080808,,
53.1-1,P53,I1,F1,C0T0,C0,T0,D0,603.9716312,1003.681885,974.5652174,863.5483871,0.001655707,0.000996332,0.001026099,0.001158013,793.0424528,0.001260967,0.135031847,260.6666667,0.183206107
53.1-2,P53,I1,F2,C0T0,C0,T0,D0,573.1144068,793.290653,845.1646904,553.4195402,0.001744852,0.001260572,0.001183201,0.001806947,645.9419087,0.001548127,0.170921986,265.9491228,0.169642857
53.1-3,P53,I1,F3,C0T0,C0,T0,D0,637.1187194,906.3056558,938.9575758,794.7350993,0.001569566,0.001103381,0.001065011,0.001258281,766.8100919,0.001304104,0.163878205,,
53.1-4,P53,I1,F4,C0T0,C0,T0,D0,579.5867769,890.2461899,934.3718593,741.4381271,0.001725367,0.001123285,0.001070238,0.00134873,727.1033247,0.00137532,0.165230263,,
