Sample Code,Plot No.,Sample No.,Flower No.,Treatment ,CO2 Level,Temperature Level,Drought,Specific Standard Petal Area (SSA) (cm2/g),Specific Wing 1 Petal Area (SW1A) (cm2/g),Specific Wing 2 Petal Area (SW2A) (cm2/g),Specific Keel Petal Area (SKA) (cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA) (cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC) (g/g),Specific Leaf Area (SLA) (cm2/g),Leaf Dry Matter Content (LDMC) (g/g)
16.1-1,P16,I1,F1,C2T2,C2,T2,D0,751.6155419,1190.362319,1022.436364,558.2537517,0.001330467,0.00084008,0.000978056,0.0017913,827.1471835,0.001208975,0.142327586,183.3,0.224390244
16.1-2,P16,I1,F2,C2T2,C2,T2,D0,569.430496,975.7388316,878.6986301,318.5318108,0.001756141,0.001024864,0.001138047,0.003139404,596.6310559,0.001676078,0.163617886,,
16.2-1,P16,I2,F1,C2T2,C2,T2,D0,487.2143774,832.5110132,819.8447894,665.9292035,0.002052485,0.001201185,0.001219743,0.001501661,639.4901554,0.001563746,0.172321429,185.4658333,0.198347107
16.2-2,P16,I2,F2,C2T2,C2,T2,D0,576.500698,678.882283,835.2477764,99.49756888,0.001734603,0.001473009,0.00119725,0.010050497,516.8549192,0.001934779,0.146520468,,
19.1-1,P19,I1,F1,C0T0,C0,T0,D0,523.4721066,829.301848,780.6734694,383.1683168,0.001910321,0.001205834,0.001280945,0.002609819,587.9837714,0.001700727,0.161971429,276.9356873,0.152793834
19.1-2,P19,I1,F2,C0T0,C0,T0,D0,619.1057289,900.7045455,860.3628118,374.1392502,0.001615233,0.001110242,0.0011623,0.002672802,646.0276074,0.001547921,0.155238095,,
19.1-3,P19,I1,F3,C0T0,C0,T0,D0,593.4263133,1013.741176,947.0327103,405.3691275,0.001685129,0.000986445,0.00105593,0.002466887,679.7385621,0.001471154,0.150267857,,
21.1-1,P21,I1,F1,C0T2,C0,T2,D0,565.3524112,898.3114993,769.8091043,314.1019608,0.001768808,0.0011132,0.001299023,0.00318368,575.8675497,0.00173651,0.166544118,238.8964912,0.191275168
21.1-2,P21,I1,F2,C0T2,C0,T2,D0,559.4511149,967.09375,1024.28795,328.5323194,0.001787466,0.001034026,0.000976288,0.003043841,617.9967764,0.001618131,0.17234127,257.0465116,0.216080402
22.1-1,P22,I1,F1,C0T0,C0,T0,D0,653.040724,891.4285714,908.4886128,386.9811321,0.001531298,0.001121795,0.001100729,0.002584105,678.9190186,0.00147293,0.163283133,304.2057692,0.185714286
22.1-2,P22,I1,F2,C0T0,C0,T0,D0,481.0521955,763.8991271,715.7593123,290.1741294,0.002078777,0.001309073,0.001397118,0.003446207,518.8262295,0.001927428,0.18597561,239.212766,0.192622951
27.1-1,P27,I1,F1,C2T2,C2,T2,D1,469.3961574,706.1755802,857.8909953,332.8091603,0.002130397,0.001416078,0.001165649,0.003004725,541.3543425,0.001847219,0.170865385,194.919403,0.208074534
27.1-2,P27,I1,F2,C2T2,C2,T2,D1,450.3457106,707.9766537,473.2072072,260.2151899,0.002220516,0.001412476,0.002113239,0.003842973,448.6652368,0.002228833,0.17619186,,
27.2-1,P27,I2,F1,C2T2,C2,T2,D1,378.0192016,622.8846154,617.5,248.7295955,0.002645368,0.001605434,0.001619433,0.00402043,422.0355731,0.002369469,0.191666667,238.8792453,0.20703125
27.2-2,P27,I2,F2,C2T2,C2,T2,D1,434.8893805,672.9960053,712.4806202,205.4592164,0.002299435,0.001485893,0.001403547,0.004867146,442.3435583,0.002260686,0.189534884,,
28.1-1,P28,I1,F1,C0T0,C0,T0,D1,589.036874,899.919571,820.9141274,347.7727683,0.001697687,0.00111121,0.001218154,0.002875441,619.0259445,0.001615441,0.125542857,250.4277778,0.199261993
28.1-2,P28,I1,F2,C0T0,C0,T0,D1,789.8168931,805.851198,796.0180995,292.938564,0.001266116,0.001240924,0.001256253,0.003413685,651.4806185,0.001534965,0.152290323,227.3580645,0.227941176
29.1-1,P29,I1,F1,C2T2,C2,T2,D0,623.3947368,716.5174129,385.7886677,357.1666667,0.00160412,0.001395639,0.002592093,0.002799813,528.4850107,0.001892201,0.131549296,255.4,0.197802198
29.1-2,P29,I1,F2,C2T2,C2,T2,D0,608.7241625,698,342.5174825,314.1551541,0.00164278,0.001432665,0.002919559,0.003183141,497.8293674,0.00200872,0.141229508,219.4733333,0.225
29.1-3,P29,I1,F3,C2T2,C2,T2,D0,868.6228482,916.013986,1146.772727,425.8959538,0.001151248,0.001091686,0.000872012,0.002347991,794.6244057,0.001258456,0.159343434,,
29.1-4,P29,I1,F4,C2T2,C2,T2,D0,537.2916667,624.9117647,437.0393701,292.460177,0.001861187,0.001600226,0.002288123,0.003419269,466.7721678,0.002142373,0.160524194,,
30.1-1,P30,I1,F1,C0T0,C0,T0,D0,595.6801909,794.2090395,759.544808,185.7440166,0.001678753,0.001259114,0.001316578,0.005383754,561.541502,0.001780812,0.171525424,215.8907882,0.19076087
30.1-2,P30,I1,F2,C0T0,C0,T0,D0,607.6557864,1019.753846,860.7843137,406.0114286,0.001645669,0.000980629,0.001161731,0.002462985,674.5933385,0.001482375,0.172901786,,
30.1-3,P30,I1,F3,C0T0,C0,T0,D0,583.6572118,774.1786744,828.2406015,350.7710012,0.001713334,0.001291691,0.001207379,0.002850863,607.4646075,0.001646186,0.164618644,,
34.1-1,P34,I1,F1,C2T0,C2,T0,D0,590.8325074,1068.472622,947.6150628,387.9159664,0.001692527,0.000935915,0.001055281,0.002577878,665.702533,0.001502172,0.139969697,208.8076923,0.216666667
34.1-2,P34,I1,F2,C2T0,C2,T0,D0,723.2651119,1012.598639,993.2775453,410.2640264,0.001382619,0.000987558,0.001006768,0.002437455,728.910808,0.00137191,0.154707792,230.3969697,0.22
34.1-3,P34,I1,F3,C2T0,C2,T0,D0,991.6261682,1027.484848,891.47343,499.5178197,0.001008445,0.00097325,0.001121738,0.002001931,860.9785026,0.001161469,0.1349,,
34.1-4,P34,I1,F4,C2T0,C2,T0,D0,545.9638243,808.0728376,1103.064067,342.3633157,0.001831623,0.001237512,0.000906566,0.002920874,622.8520018,0.001605518,0.147218543,,
35.1-1,P35,I1,F1,C2T2,C2,T2,D0,530.3604938,478.7562189,346.8894602,202.3414634,0.00188551,0.002088746,0.002882763,0.004942141,408.8608642,0.00244582,0.155032051,170.1470588,0.233944954
35.1-2,P35,I1,F2,C2T2,C2,T2,D0,578.5748219,1042.064298,997.2955975,660.6976744,0.001728385,0.000959634,0.001002712,0.001513552,744.3789942,0.001343402,0.173028846,251.58,0.189873418
35.1-3,P35,I1,F3,C2T2,C2,T2,D0,525.9655654,566.387921,770.5562423,332.3520486,0.001901265,0.001765574,0.001297764,0.003008858,521.5845824,0.001917235,0.157576687,,
41.1-1,P41,I1,F1,C2T0,C2,T0,D0,497.1134904,879.8228128,836.3636364,437.1581769,0.002011613,0.001136592,0.001195652,0.002287502,609.6787604,0.001640208,0.134314721,235.6641026,0.178899083
41.1-2,P41,I1,F2,C2T0,C2,T0,D0,569.6350365,843.4519957,747.1764706,409.1349481,0.00175551,0.001185604,0.001338372,0.002444181,614.4155145,0.001627563,0.149704301,,
41.2-1,P41,I2,F1,C2T0,C2,T0,D0,684.3800178,829.1087169,835.9509202,237.849038,0.001461177,0.001206114,0.001196242,0.004204347,587.2016592,0.001702992,0.171256831,358.1166667,0.155172414
41.2-2,P41,I2,F2,C2T0,C2,T0,D0,602.5984252,838.6514523,782.7559055,252.4972004,0.00165948,0.00119239,0.001277537,0.00396044,567.1249174,0.00176328,0.161818182,,
42.1-1,P42,I1,F1,C0T2,C0,T2,D0,,,,,,,,,,,,178.8342857,0.198863636
43.1-1,P43,I1,F1,C2T2,C2,T2,D1,480.932377,868.5451761,481.4424411,351.6849015,0.002079294,0.001151351,0.002077091,0.002843454,512.8537736,0.001949874,0.170967742,196.1052083,0.229116945
43.1-2,P43,I1,F2,C2T2,C2,T2,D1,734.1110418,1278.275862,923.6327345,393.75,0.001362192,0.000782304,0.001082681,0.002539683,754.7104019,0.001325012,0.158130841,137.9177778,0.277207392
44.1-1,P44,I1,F1,C0T0,C0,T0,D1,613.99754,792.9032258,741.2623274,272.754717,0.001628671,0.001261188,0.00134905,0.003666298,561.3809651,0.001781322,0.163086957,217.074359,0.218283582
44.1-2,P44,I1,F2,C0T0,C0,T0,D1,720.5628003,704.9621212,542.2633745,301.155303,0.001387804,0.001418516,0.001844122,0.003320546,568.0861922,0.001760296,0.160318182,278.6296296,0.204545455
47.1-1,P47,I1,F1,C0T0,C0,T0,D1,,,,,,,,,,,,190.28,0.256410256
47.2-1,P47,I2,F1,C0T0,C0,T0,D1,,,,,,,,,,,,160.587069,0.284313725
48.1-1,P48,I1,F1,C2T2,C2,T2,D1,472.1445979,731.8286311,655.3046953,293.2456747,0.002117995,0.00136644,0.001526008,0.00341011,501.7016198,0.001993217,0.145173267,247.265625,0.215488215
48.1-2,P48,I1,F2,C2T2,C2,T2,D1,573.7989062,816.5017261,797.8289474,298.8110138,0.001742771,0.001224737,0.001253402,0.003346597,569.5934677,0.001755638,0.163522727,,
48.1-3,P48,I1,F3,C2T2,C2,T2,D1,447.8579041,687.4074074,766.1521739,385.3815893,0.002232851,0.001454741,0.001305224,0.002594831,523.2506245,0.00191113,0.173554913,,
48.1-4,P48,I1,F4,C2T2,C2,T2,D1,768.3572895,893.974359,960.9749671,331.8971631,0.001301478,0.0011186,0.00104061,0.003012981,714.5872156,0.001399409,0.128910615,,
49.1-1,P49,I1,F1,C0T0,C0,T0,D1,439.1270761,692.8667306,655.9512652,302.5885559,0.002277245,0.001443279,0.001524504,0.003304818,487.0536728,0.002053162,0.148961353,164.5092199,0.239388795
49.1-2,P49,I1,F2,C0T0,C0,T0,D1,552.7118644,777.7884615,598.1421801,275.8774038,0.001809261,0.001285697,0.001671843,0.003624799,522.9428429,0.001912255,0.185216049,155.3735537,0.235867446
49.1-3,P49,I1,F3,C0T0,C0,T0,D1,499.6443812,671.8675722,548.0244755,274.1656516,0.002001423,0.001488389,0.001824736,0.00364743,483.1139315,0.002069905,0.178315789,,
49.1-4,P49,I1,F4,C0T0,C0,T0,D1,649.8575499,828.4542587,736.9375,357.3535792,0.001538799,0.001207067,0.001356967,0.002798349,621.8777778,0.001608033,0.151685393,,
50.1-1,P50,I1,F1,C2T2,C2,T2,D1,560.3051546,604.7821229,569.4220284,323.3199033,0.001784742,0.001653488,0.001756167,0.003092912,515.4107338,0.0019402,0.151325967,143.5627907,0.262729124
50.1-2,P50,I1,F2,C2T2,C2,T2,D1,690.1243523,1273.135314,1337.569787,477.1706263,0.001449014,0.000785462,0.000747625,0.002095686,825.3254729,0.001211643,0.153045113,,
50.2-1,P50,I2,F1,C2T2,C2,T2,D1,683.7132902,951.0068966,901.0143043,398.4013322,0.001462601,0.001051517,0.00110986,0.002510032,687.5892857,0.001454357,0.142545455,212.6542553,0.218604651
50.2-2,P50,I2,F2,C2T2,C2,T2,D1,591.6659263,718.4309133,773.6094675,301.6388889,0.001690143,0.001391922,0.001292642,0.003315222,562.7903525,0.001776861,0.154,,
51.1-1,P51,I1,F1,C0T2,C0,T2,D0,703.4826999,868.9005236,843.3466135,280.984103,0.001421499,0.00115088,0.001185752,0.00355892,632.5364051,0.001580937,0.164321429,256.6842105,0.169139466
51.1-2,P51,I1,F2,C0T2,C0,T2,D0,724.8940533,1118.597064,1117.290323,420.3865717,0.001379512,0.000893977,0.000895023,0.002378763,775.2595814,0.001289891,0.143710938,,
51.2-1,P51,I2,F1,C0T2,C0,T2,D0,712.9003559,1076.231343,1084.384134,442.6086957,0.001402721,0.000929168,0.000922182,0.002259332,758.1878526,0.001318934,0.131,187.0109589,0.17116061
51.2-2,P51,I2,F2,C0T2,C0,T2,D0,467.6679245,684.7606019,758.0952381,266.0018993,0.002138269,0.001460364,0.001319095,0.003759372,507.8733979,0.001968995,0.193080808,,
53.1-1,P53,I1,F1,C0T0,C0,T0,D0,603.9716312,1003.681885,974.5652174,431.7741935,0.001655707,0.000996332,0.001026099,0.002316025,692.0235849,0.001445037,0.135031847,260.6666667,0.183206107
53.1-2,P53,I1,F2,C0T0,C0,T0,D0,573.1144068,793.290653,845.1646904,276.7097701,0.001744852,0.001260572,0.001183201,0.003613895,566.0290456,0.001766694,0.170921986,265.9491228,0.169642857
53.1-3,P53,I1,F3,C0T0,C0,T0,D0,637.1187194,906.3056558,938.9575758,397.3675497,0.001569566,0.001103381,0.001065011,0.002516562,672.927831,0.001486043,0.163878205,,
53.1-4,P53,I1,F4,C0T0,C0,T0,D0,579.5867769,890.2461899,934.3718593,370.7190635,0.001725367,0.001123285,0.001070238,0.00269746,638.8333665,0.001565353,0.165230263,,
